"","name","usage","count","Type1","Type2","bst","hp","atk","def","spatk","spdef","spd","mult_Grass","mult_Normal","mult_Water","mult_Dragon","mult_Electric","mult_Fighting","mult_Poison","mult_Fire","mult_Bug","mult_Ice","mult_Psychic","mult_Ghost","mult_Dark","mult_Flying","mult_Rock","mult_Steel","mult_Fairy","mult_Ground","pivot","hazard_control","hazard","total"
"1","Abomasnow",0.825667142857143,242610,"Grass","Ice",494,90,92,75,92,85,60,0.5,1,0.5,1,0.5,2,2,4,2,1,1,1,1,2,2,2,1,0.5,"0","0","0",27120200
"2","Alomomola",0.922735714285714,226634,"Water","",470,165,75,80,40,45,65,2,1,0.5,1,2,1,1,0.5,1,0.5,1,1,1,1,1,0.5,1,1,"1","0","0",27120200
"3","Altaria",0.311634285714286,87970,"Dragon","Flying",490,75,70,90,70,105,80,0.25,1,0.5,2,1,0.5,1,0.5,0.5,4,1,1,1,1,2,1,2,0,"0","1","0",27120200
"4","Amoonguss",8.46049857142857,2157986,"Grass","Poison",464,114,85,70,85,80,30,0.25,1,0.5,1,0.5,0.5,1,2,1,2,2,1,1,2,1,1,0.5,1,"0","0","0",27120200
"5","Ampharos",0.16736,49257,"Electric","",510,90,75,85,115,90,55,1,1,1,1,0.5,1,1,1,1,1,1,1,1,0.5,1,0.5,1,2,"1","0","0",27120200
"6","Annihilape",11.55911,2013821,"Fighting","Ghost",535,110,115,80,50,90,90,1,0,1,1,1,0,0.5,1,0.25,1,2,2,1,2,0.5,1,2,1,"1","0","1",27120200
"7","Appletun",0.272125714285714,78480,"Grass","Dragon",485,110,85,80,100,80,30,0.25,1,0.25,2,0.25,1,2,1,2,4,1,1,1,2,1,1,2,0.5,"0","0","0",27120200
"8","Applin",0.00123142857142857,284,"Grass","Dragon",260,40,40,80,40,40,20,0.25,1,0.25,2,0.25,1,2,1,2,4,1,1,1,2,1,1,2,0.5,"0","0","0",27120200
"9","Arboliva",1.61475857142857,489369,"Grass","Normal",510,78,69,90,125,109,39,0.5,1,0.5,1,0.5,2,2,2,2,2,1,0,1,2,1,1,1,0.5,"0","0","0",27120200
"10","Arcanine",0.737584285714286,211880,"Fire","",555,90,110,80,100,80,95,0.5,1,2,1,1,1,1,0.5,0.5,0.5,1,1,1,1,2,0.5,0.5,2,"0","0","1",27120200
